word,times_added,times_removed,net_change,cluster
maldives,0,1,-1,0
dr,0,1,-1,0
owl,0,1,-1,0
guyana,0,1,-1,0
ukraine,0,1,-1,0
lithuania,0,1,-1,0
criminal,0,1,-1,0
probably,0,1,-1,0
age,0,1,-1,0
cirurgia,0,2,-2,0
estonia,0,1,-1,0
seychelles,0,1,-1,0
saker,0,2,-2,0
micronesia,0,1,-1,0
homoseksuelle,0,1,-1,0
islands,0,9,-9,0
albania,0,1,-1,0
nigeria,0,1,-1,0
yedim,1,1,0,0
dk,1,3,-2,0
aljazeera,1,1,0,0
cringegenderism,1,1,0,0
hays,1,1,0,0
justicia,1,1,0,0
timesofmalta,1,1,0,0
minneapolis,1,1,0,0
prohibition,1,1,0,0
party,0,1,-1,0
governor,0,1,-1,0
alliance,0,1,-1,0
trinidad,0,1,-1,0
enrollment,0,1,-1,0
croatia,0,1,-1,0
disorder,0,1,-1,0
stanu,0,1,-1,0
anti,0,2,-2,0
registry,0,1,-1,0
remove,0,1,-1,0
reports,0,1,-1,0
schools,0,2,-2,0
jun,1,1,0,0
herzegovina,0,1,-1,0
results,0,1,-1,0
wallis,0,1,-1,0
mt,0,2,-2,0
uio,0,1,-1,0
allanngortinneqarneranik,0,1,-1,0
district,0,3,-3,0
conducted,0,1,-1,0
idahopress,0,2,-2,0
publikasjoner,0,1,-1,0
chinese,0,3,-3,0
centre,0,1,-1,0
hate,1,2,-1,0
judge,1,3,-2,0
san,1,2,-1,0
noticias,1,2,-1,0
ccss,1,2,-1,0
vm,1,1,0,0
comparative,1,1,0,0
sizi,1,1,0,0
thenewslens,1,1,0,0
derechos,1,1,0,0
applies,1,0,1,0
release,1,2,-1,0
jn,1,1,0,0
backlash,1,1,0,0
view,1,3,-2,0
icelandmonitor,1,1,0,0
province,1,2,-1,0
las,1,1,0,0
australian,1,1,0,0
christine,1,1,0,0
proposals,1,1,0,0
transvestite,1,1,0,0
rommel,1,1,0,0
shy,1,0,1,0
decides,1,0,1,0
indian,1,2,-1,0
proposal,1,1,0,0
washingtonblade,1,1,0,0
giving,1,1,0,0
erin,1,1,0,0
taiwan,1,2,-1,0
derecognise,1,1,0,0
electroshock,1,1,0,0
torontosun,1,1,0,0
presentan,1,1,0,0
zevk,1,1,0,0
cambiar,1,1,0,0
constitutionally,1,1,0,0
apply,1,1,0,0
style,0,3,-3,0
link,1,2,-1,0
nextmedia,1,1,0,0
economic,1,2,-1,0
lmek,1,1,0,0
los,1,1,0,0
jamie,1,1,0,0
mely,1,1,0,0
plan,1,1,0,0
info,1,1,0,0
inline,1,1,0,0
look,1,1,0,0
lesbian,1,1,0,0
